,mz,rt,lcms mode
LN463,325.1511968,10.29333333,-1
LN465,353.1000274,10.3391,-1
LN471,311.0334564,10.38488333,-1
LN472,326.9961345,10.38488333,-1
LN469,156.0133431,10.38488333,-1
LN468,243.0449798,10.38488333,-1
LN475,407.0897174,10.43075,-1
LN473,323.1353634,10.43075,-1
LN483,161.0828796,10.5222,-1
LN482,395.1547283,10.5222,-1
LN479,491.1360405,10.5222,-1
LN486,163.0410416,10.56796667,-1
LN489,372.9041898,10.61385,-1
LN492,315.0725033,10.65951667,-1
LN491,145.0515418,10.65951667,-1
LN499,375.1300263,10.7053,-1
LN496,353.0492077,10.7053,-1
LN495,285.0618996,10.7053,-1
LN504,232.1195863,10.75105,-1
LN501,365.1476524,10.75105,-1
LN515,391.0790816,10.79691667,-1
LN512,208.0623832,10.79691667,-1
LN508,401.1075687,10.79691667,-1
LN510,355.1030432,10.79691667,-1
LN507,193.0513817,10.79691667,-1
LN518,256.954112,10.84258333,-1
LN519,495.0925812,10.84258333,-1
LN520,323.1367823,10.84258333,-1
LN517,213.0775786,10.84258333,-1
LN524,299.0773712,10.88836667,-1
LN532,385.1103032,10.93413333,-1
LN529,216.0882879,10.93413333,-1
LN531,223.0618747,10.93413333,-1
LN530,385.1169472,10.93413333,-1
LN528,293.1245437,10.93413333,-1
LN538,433.1221591,10.98001667,-1
LN540,379.1615878,10.98001667,-1
LN539,357.1197767,10.98001667,-1
LN537,499.1023735,10.98001667,-1
LN536,432.1200225,10.98001667,-1
LN544,437.2000642,11.02568333,-1
LN542,483.2060957,11.02568333,-1
LN545,301.0929579,11.02568333,-1
LN552,487.2079841,11.07146667,-1
LN554,439.181304,11.07146667,-1
LN551,487.2015934,11.07146667,-1
LN550,441.1961753,11.07146667,-1
LN547,119.0509388,11.07146667,-1
LN548,163.0408428,11.07146667,-1
LN555,172.0988453,11.11721667,-1
LN557,447.2215097,11.11721667,-1
LN560,423.1837476,11.1631,-1
LN563,351.1313649,11.1631,-1
LN565,471.170845,11.1631,-1
LN564,487.1510049,11.1631,-1
LN561,667.1453519,11.1631,-1
LN559,433.2103453,11.1631,-1
LN573,455.1745719,11.20878333,-1
LN572,195.0670889,11.20878333,-1
LN574,637.1365663,11.20878333,-1
LN569,256.9560763,11.20878333,-1
LN570,319.1405155,11.20878333,-1
LN567,351.1668084,11.20878333,-1
LN571,367.1610744,11.20878333,-1
LN566,325.0927225,11.20878333,-1
LN576,356.1093737,11.25455,-1
LN577,407.1550048,11.25455,-1
LN578,377.1331947,11.25455,-1
LN575,193.0513434,11.25455,-1
LN590,411.1861895,11.30031667,-1
LN589,443.1220093,11.30031667,-1
LN586,457.1929391,11.30031667,-1
LN582,387.1646902,11.30031667,-1
LN600,563.1349551,11.34618333,-1
LN596,567.1102709,11.34618333,-1
LN599,453.1344067,11.34618333,-1
LN597,478.1547677,11.34618333,-1
LN598,401.1469795,11.34618333,-1
LN593,415.1602187,11.34618333,-1
LN592,433.2062729,11.34618333,-1
LN591,213.0775257,11.34618333,-1
LN605,464.0935875,11.39185,-1
LN603,175.0405731,11.39185,-1
LN607,393.0776061,11.39185,-1
LN610,471.1525628,11.39185,-1
LN602,418.1002847,11.39185,-1
LN601,355.102427,11.39185,-1
LN614,551.1711569,11.43763333,-1
LN613,375.1672093,11.43763333,-1
LN611,261.0884996,11.43763333,-1
LN617,391.0802233,11.48341667,-1
LN618,365.1846471,11.48341667,-1
LN623,425.1375828,11.52926667,-1
LN626,398.1162215,11.52926667,-1
LN622,450.1087311,11.52926667,-1
LN625,331.1317906,11.52926667,-1
LN624,311.1047017,11.52926667,-1
LN621,343.1313947,11.52926667,-1
LN620,424.134027,11.52926667,-1
LN619,361.1389925,11.52926667,-1
LN628,403.15887,11.57495,-1
LN629,315.1224243,11.57495,-1
LN627,325.1503934,11.57495,-1
LN634,210.9511929,11.62071667,-1
LN635,508.0980409,11.62071667,-1
LN633,431.1949971,11.62071667,-1
LN632,256.9546073,11.62071667,-1
LN631,361.1423035,11.62071667,-1
LN646,413.1105773,11.66648333,-1
LN644,639.1864834,11.66648333,-1
LN639,351.128533,11.66648333,-1
LN640,479.1189953,11.66648333,-1
LN641,475.2176979,11.66648333,-1
LN656,533.1263814,11.71238333,-1
LN658,421.1738967,11.71238333,-1
LN654,423.1917767,11.71238333,-1
LN653,252.0516893,11.71238333,-1
LN657,377.1376883,11.71238333,-1
LN651,165.0201412,11.71238333,-1
LN655,371.1363029,11.71238333,-1
LN650,476.2202729,11.71238333,-1
LN649,387.1671581,11.71238333,-1
LN648,443.1172475,11.71238333,-1
LN665,333.1557837,11.75803333,-1
LN661,211.0617464,11.75803333,-1
LN666,297.0299372,11.75803333,-1
LN660,213.9644769,11.75803333,-1
LN663,235.0592006,11.75803333,-1
LN662,169.0878349,11.75803333,-1
LN659,213.0774988,11.75803333,-1
LN668,464.0943802,11.80381667,-1
LN667,215.093016,11.80381667,-1
LN674,561.2482471,11.84958333,-1
LN675,473.1981753,11.84958333,-1
LN673,156.0132591,11.84958333,-1
LN672,285.0553547,11.84958333,-1
LN679,393.1763652,11.89546667,-1
LN678,153.0200096,11.89546667,-1
LN680,371.0992638,11.89546667,-1
LN687,423.1840026,11.94113333,-1
LN686,389.1821701,11.94113333,-1
LN688,449.1681361,11.94113333,-1
LN684,186.1142708,11.94113333,-1
LN685,244.0288488,11.94113333,-1
LN693,365.1462857,11.9869,-1
LN694,481.2253403,11.9869,-1
LN692,401.1807093,11.9869,-1
LN691,415.1595954,11.9869,-1
